,Unnamed: 0,date_implement,policy,metric_change,state
0,0,2020-03-05,C1_School closing,3.0,national
1,1,2020-03-19,C2_Workplace closing,3.0,national
2,2,2020-06-15,C2_Workplace closing,-1.0,national
3,3,2020-11-16,C2_Workplace closing,1.0,national
4,4,2020-03-01,C3_Cancel public events,1.0,national
5,5,2020-03-11,C4_Restrictions on gatherings,1.0,national
6,6,2020-03-21,C4_Restrictions on gatherings,2.0,national
7,7,2020-09-12,C4_Restrictions on gatherings,-1.0,national
8,8,2020-03-17,C5_Close public transport,1.0,national
9,9,2020-03-15,C6_Stay at home requirements,2.0,national
10,10,2020-07-20,C6_Stay at home requirements,-1.0,national
11,11,2020-10-13,C6_Stay at home requirements,1.0,national
12,12,2020-03-14,C7_Restrictions on internal movement,1.0,national
13,13,2020-02-02,C8_International travel controls,2.0,national
14,14,2020-03-02,C8_International travel controls,1.0,national
15,15,2020-03-16,H1_Public information campaigns,2.0,national
16,16,2020-02-28,H2_Testing policy,1.0,national
17,17,2020-01-21,H3_Contact tracing,1.0,national
18,18,2020-03-10,H6_Facial Coverings,1.0,national
19,19,2020-12-14,H7_Vaccination policy,1.0,national
0,0,2020-03-13,C1_School closing,1.0,Alaska
1,1,2020-03-16,C1_School closing,2.0,Alaska
2,2,2020-03-12,C2_Workplace closing,1.0,Alaska
3,3,2020-04-24,C2_Workplace closing,-1.0,Alaska
4,4,2020-03-13,C3_Cancel public events,1.0,Alaska
5,5,2020-05-08,C3_Cancel public events,-1.0,Alaska
6,6,2020-03-16,C4_Restrictions on gatherings,3.0,Alaska
7,7,2020-03-21,C4_Restrictions on gatherings,1.0,Alaska
8,8,2020-04-24,C4_Restrictions on gatherings,-1.0,Alaska
9,9,2020-03-18,C5_Close public transport,1.0,Alaska
10,10,2020-06-01,C5_Close public transport,-2.0,Alaska
11,11,2020-03-22,C6_Stay at home requirements,2.0,Alaska
12,12,2020-04-24,C6_Stay at home requirements,-1.0,Alaska
13,13,2020-03-16,C7_Restrictions on internal movement,1.0,Alaska
14,14,2020-04-24,C7_Restrictions on internal movement,-1.0,Alaska
15,15,2020-03-02,C8_International travel controls,3.0,Alaska
16,16,2020-01-08,H1_Public information campaigns,1.0,Alaska
17,17,2020-01-21,H2_Testing policy,1.0,Alaska
18,18,2020-01-21,H3_Contact tracing,1.0,Alaska
19,19,2020-07-03,H3_Contact tracing,-1.0,Alaska
20,20,2020-04-04,H6_Facial Coverings,1.0,Alaska
21,21,2020-06-29,H6_Facial Coverings,2.0,Alaska
22,22,2020-12-15,H7_Vaccination policy,1.0,Alaska
23,0,2020-03-13,C1_School closing,1.0,Alabama
24,1,2020-08-16,C1_School closing,-1.0,Alabama
25,2,2020-03-12,C2_Workplace closing,1.0,Alabama
26,3,2020-04-30,C2_Workplace closing,-1.0,Alabama
27,4,2020-03-13,C3_Cancel public events,1.0,Alabama
28,5,2020-06-06,C3_Cancel public events,-1.0,Alabama
29,6,2020-03-17,C4_Restrictions on gatherings,3.0,Alabama
30,7,2020-03-19,C4_Restrictions on gatherings,1.0,Alabama
31,8,2020-05-21,C4_Restrictions on gatherings,-4.0,Alabama
32,9,2020-03-24,C5_Close public transport,1.0,Alabama
33,10,2020-08-28,C5_Close public transport,-1.0,Alabama
34,11,2020-03-24,C6_Stay at home requirements,2.0,Alabama
35,12,2020-06-20,C6_Stay at home requirements,-1.0,Alabama
36,13,2020-03-16,C7_Restrictions on internal movement,1.0,Alabama
37,14,2020-03-02,C8_International travel controls,3.0,Alabama
38,15,2020-03-10,H1_Public information campaigns,2.0,Alabama
39,16,2020-01-21,H2_Testing policy,1.0,Alabama
40,17,2020-03-02,H2_Testing policy,-1.0,Alabama
41,18,2020-03-06,H2_Testing policy,2.0,Alabama
42,19,2020-01-21,H3_Contact tracing,1.0,Alabama
43,20,2020-10-23,H3_Contact tracing,-1.0,Alabama
44,21,2020-04-04,H6_Facial Coverings,1.0,Alabama
45,22,2020-05-01,H6_Facial Coverings,2.0,Alabama
46,23,2020-12-15,H7_Vaccination policy,1.0,Alabama
47,0,2020-03-12,C1_School closing,1.0,Arkansas
48,1,2020-03-17,C1_School closing,2.0,Arkansas
49,2,2020-08-24,C1_School closing,-1.0,Arkansas
50,3,2020-03-12,C2_Workplace closing,1.0,Arkansas
51,4,2020-11-17,C2_Workplace closing,-1.0,Arkansas
52,5,2020-03-13,C3_Cancel public events,1.0,Arkansas
53,6,2020-05-04,C3_Cancel public events,-1.0,Arkansas
54,7,2020-03-27,C4_Restrictions on gatherings,4.0,Arkansas
55,8,2020-05-04,C4_Restrictions on gatherings,-1.0,Arkansas
56,9,2020-06-15,C4_Restrictions on gatherings,-2.0,Arkansas
57,10,2020-05-11,C5_Close public transport,1.0,Arkansas
58,11,2020-04-03,C6_Stay at home requirements,1.0,Arkansas
59,12,2020-03-16,C7_Restrictions on internal movement,1.0,Arkansas
60,13,2020-06-15,C7_Restrictions on internal movement,-1.0,Arkansas
61,14,2020-03-02,C8_International travel controls,3.0,Arkansas
62,15,2020-03-11,H1_Public information campaigns,1.0,Arkansas
63,16,2020-01-21,H2_Testing policy,1.0,Arkansas
64,17,2020-11-03,H2_Testing policy,-1.0,Arkansas
65,18,2020-01-21,H3_Contact tracing,1.0,Arkansas
66,19,2020-04-03,H6_Facial Coverings,1.0,Arkansas
67,20,2020-06-16,H6_Facial Coverings,2.0,Arkansas
68,21,2020-12-14,H7_Vaccination policy,1.0,Arkansas
69,0,2020-03-13,C1_School closing,1.0,Arizona
70,1,2020-03-16,C1_School closing,2.0,Arizona
71,2,2020-08-20,C1_School closing,-1.0,Arizona
72,3,2020-03-12,C2_Workplace closing,1.0,Arizona
73,4,2020-05-16,C2_Workplace closing,-1.0,Arizona
74,5,2020-03-15,C3_Cancel public events,1.0,Arizona
75,6,2020-08-11,C3_Cancel public events,-1.0,Arizona
76,7,2020-08-03,C4_Restrictions on gatherings,3.0,Arizona
77,8,2020-03-31,C5_Close public transport,1.0,Arizona
78,9,2020-05-16,C5_Close public transport,-1.0,Arizona
79,10,2020-03-31,C6_Stay at home requirements,2.0,Arizona
80,11,2020-05-16,C6_Stay at home requirements,-1.0,Arizona
81,12,2020-03-16,C7_Restrictions on internal movement,1.0,Arizona
82,13,2020-05-16,C7_Restrictions on internal movement,-1.0,Arizona
83,14,2020-03-02,C8_International travel controls,3.0,Arizona
84,15,2020-01-26,H1_Public information campaigns,1.0,Arizona
85,16,2020-01-21,H2_Testing policy,1.0,Arizona
86,17,2020-01-21,H3_Contact tracing,1.0,Arizona
87,18,2020-04-04,H6_Facial Coverings,1.0,Arizona
88,19,2020-06-19,H6_Facial Coverings,2.0,Arizona
89,0,2020-03-07,C1_School closing,1.0,California
90,1,2020-03-12,C2_Workplace closing,1.0,California
91,2,2020-03-17,C2_Workplace closing,2.0,California
92,3,2020-05-08,C2_Workplace closing,-1.0,California
93,4,2020-03-07,C3_Cancel public events,1.0,California
94,5,2020-03-11,C4_Restrictions on gatherings,2.0,California
95,6,2020-10-09,C4_Restrictions on gatherings,-1.0,California
96,7,2020-11-30,C4_Restrictions on gatherings,1.0,California
97,8,2020-03-11,C6_Stay at home requirements,1.0,California
98,9,2020-05-08,C6_Stay at home requirements,-1.0,California
99,10,2020-03-16,C7_Restrictions on internal movement,1.0,California
100,11,2020-05-08,C7_Restrictions on internal movement,-1.0,California
101,12,2020-01-17,C8_International travel controls,1.0,California
102,13,2020-03-02,C8_International travel controls,2.0,California
103,14,2020-02-02,H1_Public information campaigns,1.0,California
104,15,2020-01-21,H2_Testing policy,1.0,California
105,16,2020-08-26,H2_Testing policy,-1.0,California
106,17,2020-01-21,H3_Contact tracing,1.0,California
107,18,2020-04-01,H6_Facial Coverings,1.0,California
108,19,2020-12-15,H7_Vaccination policy,2.0,California
109,0,2020-03-13,C1_School closing,1.0,Colorado
110,1,2020-06-01,C1_School closing,-1.0,Colorado
111,2,2020-03-12,C2_Workplace closing,1.0,Colorado
112,3,2020-04-27,C2_Workplace closing,-1.0,Colorado
113,4,2020-03-12,C3_Cancel public events,1.0,Colorado
114,5,2020-06-18,C3_Cancel public events,-1.0,Colorado
115,6,2020-03-12,C4_Restrictions on gatherings,3.0,Colorado
116,7,2020-03-20,C4_Restrictions on gatherings,1.0,Colorado
117,8,2020-03-16,C5_Close public transport,1.0,Colorado
118,9,2020-03-24,C6_Stay at home requirements,2.0,Colorado
119,10,2020-05-09,C6_Stay at home requirements,-1.0,Colorado
120,11,2020-03-16,C7_Restrictions on internal movement,1.0,Colorado
121,12,2020-05-09,C7_Restrictions on internal movement,-1.0,Colorado
122,13,2020-03-02,C8_International travel controls,3.0,Colorado
123,14,2020-02-27,H1_Public information campaigns,1.0,Colorado
124,15,2020-01-21,H2_Testing policy,1.0,Colorado
125,16,2020-01-21,H3_Contact tracing,1.0,Colorado
126,17,2020-04-03,H6_Facial Coverings,1.0,Colorado
127,18,2020-12-14,H7_Vaccination policy,1.0,Colorado
128,0,2020-03-11,C1_School closing,2.0,Connecticut
129,1,2020-03-13,C1_School closing,1.0,Connecticut
130,2,2020-08-26,C1_School closing,-1.0,Connecticut
131,3,2020-03-12,C2_Workplace closing,1.0,Connecticut
132,4,2020-05-20,C2_Workplace closing,-1.0,Connecticut
133,5,2020-03-09,C3_Cancel public events,2.0,Connecticut
134,6,2020-07-03,C3_Cancel public events,-1.0,Connecticut
135,7,2020-03-12,C4_Restrictions on gatherings,2.0,Connecticut
136,8,2020-03-16,C4_Restrictions on gatherings,1.0,Connecticut
137,9,2020-06-17,C4_Restrictions on gatherings,-1.0,Connecticut
138,10,2020-03-27,C5_Close public transport,1.0,Connecticut
139,11,2020-03-22,C6_Stay at home requirements,1.0,Connecticut
140,12,2020-03-16,C7_Restrictions on internal movement,1.0,Connecticut
141,13,2020-03-02,C8_International travel controls,3.0,Connecticut
142,14,2020-01-27,H1_Public information campaigns,1.0,Connecticut
143,15,2020-01-21,H2_Testing policy,1.0,Connecticut
144,16,2020-01-21,H3_Contact tracing,1.0,Connecticut
145,17,2020-04-04,H6_Facial Coverings,1.0,Connecticut
146,18,2020-04-20,H6_Facial Coverings,2.0,Connecticut
147,19,2020-12-14,H7_Vaccination policy,2.0,Connecticut
148,0,2020-03-13,C1_School closing,1.0,Washington
149,1,2020-03-17,C1_School closing,-1.0,Washington
150,2,2020-03-04,C2_Workplace closing,1.0,Washington
151,3,2020-03-05,C2_Workplace closing,-1.0,Washington
152,4,2020-03-23,C2_Workplace closing,2.0,Washington
153,5,2020-03-23,C2_Workplace closing,-2.0,Washington
154,6,2020-03-04,C3_Cancel public events,1.0,Washington
155,7,2020-03-05,C3_Cancel public events,-1.0,Washington
156,8,2020-03-11,C3_Cancel public events,2.0,Washington
157,9,2020-03-11,C4_Restrictions on gatherings,2.0,Washington
158,10,2020-03-11,C4_Restrictions on gatherings,-2.0,Washington
159,11,2020-03-16,C4_Restrictions on gatherings,1.0,Washington
160,12,2020-03-23,C4_Restrictions on gatherings,-1.0,Washington
161,13,2020-03-13,C5_Close public transport,1.0,Washington
162,14,2020-03-14,C5_Close public transport,-1.0,Washington
163,15,2020-03-04,C6_Stay at home requirements,1.0,Washington
164,16,2020-03-05,C6_Stay at home requirements,-1.0,Washington
165,17,2020-03-23,C6_Stay at home requirements,2.0,Washington
166,18,2020-03-23,C6_Stay at home requirements,-2.0,Washington
167,19,2020-03-16,C7_Restrictions on internal movement,1.0,Washington
168,20,2020-04-01,C7_Restrictions on internal movement,-1.0,Washington
169,21,2020-03-02,C8_International travel controls,3.0,Washington
170,22,2020-02-29,H1_Public information campaigns,1.0,Washington
171,23,2020-02-29,H1_Public information campaigns,-1.0,Washington
172,24,2020-03-04,H1_Public information campaigns,2.0,Washington
173,25,2020-01-21,H2_Testing policy,1.0,Washington
174,26,2020-04-03,H2_Testing policy,-1.0,Washington
175,27,2020-01-20,H3_Contact tracing,1.0,Washington
176,28,2020-01-20,H3_Contact tracing,-1.0,Washington
177,29,2020-04-04,H6_Facial Coverings,1.0,Washington
178,30,2020-05-13,H6_Facial Coverings,2.0,Washington
179,31,2020-05-14,H6_Facial Coverings,-2.0,Washington
180,32,2020-12-14,H7_Vaccination policy,2.0,Washington
181,33,2020-12-14,H7_Vaccination policy,-2.0,Washington
182,34,2020-12-16,H7_Vaccination policy,-1.0,Washington
183,35,2020-12-16,H7_Vaccination policy,1.0,Washington
184,0,2020-03-13,C1_School closing,1.0,Delaware
185,1,2020-03-16,C1_School closing,2.0,Delaware
186,2,2020-08-28,C1_School closing,-1.0,Delaware
187,3,2020-03-12,C2_Workplace closing,1.0,Delaware
188,4,2020-03-12,C3_Cancel public events,1.0,Delaware
189,5,2020-09-04,C3_Cancel public events,-1.0,Delaware
190,6,2020-03-16,C4_Restrictions on gatherings,3.0,Delaware
191,7,2020-04-02,C4_Restrictions on gatherings,1.0,Delaware
192,8,2020-06-15,C4_Restrictions on gatherings,-2.0,Delaware
193,9,2020-11-23,C4_Restrictions on gatherings,2.0,Delaware
194,10,2020-03-18,C5_Close public transport,1.0,Delaware
195,11,2020-09-04,C5_Close public transport,-1.0,Delaware
196,12,2020-03-09,C6_Stay at home requirements,1.0,Delaware
197,13,2020-07-15,C6_Stay at home requirements,-1.0,Delaware
198,14,2020-03-13,C7_Restrictions on internal movement,1.0,Delaware
199,15,2020-06-01,C7_Restrictions on internal movement,-1.0,Delaware
200,16,2020-02-07,C8_International travel controls,1.0,Delaware
201,17,2020-03-02,C8_International travel controls,2.0,Delaware
202,18,2020-01-28,H1_Public information campaigns,1.0,Delaware
203,19,2020-01-21,H2_Testing policy,1.0,Delaware
204,20,2020-01-21,H3_Contact tracing,1.0,Delaware
205,21,2020-04-04,H6_Facial Coverings,1.0,Delaware
206,22,2020-04-28,H6_Facial Coverings,2.0,Delaware
207,23,2020-12-17,H7_Vaccination policy,1.0,Delaware
208,0,2020-03-12,C1_School closing,2.0,Florida
209,1,2020-03-17,C1_School closing,1.0,Florida
210,2,2020-08-01,C1_School closing,-1.0,Florida
211,3,2020-03-12,C2_Workplace closing,1.0,Florida
212,4,2020-03-16,C2_Workplace closing,2.0,Florida
213,5,2020-03-17,C2_Workplace closing,-1.0,Florida
214,6,2020-03-12,C3_Cancel public events,1.0,Florida
215,7,2020-09-25,C3_Cancel public events,-1.0,Florida
216,8,2020-03-17,C4_Restrictions on gatherings,4.0,Florida
217,9,2020-09-25,C4_Restrictions on gatherings,-1.0,Florida
218,10,2020-10-02,C4_Restrictions on gatherings,-3.0,Florida
219,11,2020-03-20,C5_Close public transport,1.0,Florida
220,12,2020-11-15,C5_Close public transport,-1.0,Florida
221,13,2020-03-16,C6_Stay at home requirements,2.0,Florida
222,14,2020-06-08,C6_Stay at home requirements,-1.0,Florida
223,15,2020-07-03,C6_Stay at home requirements,1.0,Florida
224,16,2020-03-16,C7_Restrictions on internal movement,1.0,Florida
225,17,2020-08-05,C7_Restrictions on internal movement,-1.0,Florida
226,18,2020-03-02,C8_International travel controls,3.0,Florida
227,19,2020-02-25,H1_Public information campaigns,1.0,Florida
228,20,2020-01-21,H2_Testing policy,1.0,Florida
229,21,2020-01-21,H3_Contact tracing,1.0,Florida
230,22,2020-04-04,H6_Facial Coverings,1.0,Florida
231,23,2020-12-14,H7_Vaccination policy,1.0,Florida
232,0,2020-03-12,C1_School closing,1.0,Georgia
233,1,2020-03-18,C1_School closing,2.0,Georgia
234,2,2020-08-17,C1_School closing,-1.0,Georgia
235,3,2020-03-12,C2_Workplace closing,1.0,Georgia
236,4,2020-07-01,C2_Workplace closing,-1.0,Georgia
237,5,2020-03-14,C3_Cancel public events,1.0,Georgia
238,6,2020-12-30,C3_Cancel public events,-1.0,Georgia
239,7,2020-04-02,C4_Restrictions on gatherings,4.0,Georgia
240,8,2020-05-28,C4_Restrictions on gatherings,-1.0,Georgia
241,9,2020-04-20,C5_Close public transport,1.0,Georgia
242,10,2020-10-01,C5_Close public transport,-1.0,Georgia
243,11,2020-03-21,C6_Stay at home requirements,2.0,Georgia
244,12,2020-03-16,C7_Restrictions on internal movement,1.0,Georgia
245,13,2020-03-02,C8_International travel controls,3.0,Georgia
246,14,2020-03-13,H1_Public information campaigns,2.0,Georgia
247,15,2020-01-21,H2_Testing policy,1.0,Georgia
248,16,2020-03-02,H2_Testing policy,-1.0,Georgia
249,17,2020-01-21,H3_Contact tracing,1.0,Georgia
250,18,2020-09-18,H3_Contact tracing,-1.0,Georgia
251,19,2020-04-04,H6_Facial Coverings,1.0,Georgia
252,20,2020-12-15,H7_Vaccination policy,1.0,Georgia
253,0,2020-03-13,C1_School closing,1.0,Hawaii
254,1,2020-08-24,C1_School closing,-1.0,Hawaii
255,2,2020-03-12,C2_Workplace closing,1.0,Hawaii
256,3,2020-05-05,C2_Workplace closing,-1.0,Hawaii
257,4,2020-03-13,C3_Cancel public events,1.0,Hawaii
258,5,2020-03-25,C4_Restrictions on gatherings,4.0,Hawaii
259,6,2020-07-17,C5_Close public transport,1.0,Hawaii
260,7,2020-03-20,C6_Stay at home requirements,1.0,Hawaii
261,8,2020-11-12,C6_Stay at home requirements,-1.0,Hawaii
262,9,2020-03-16,C7_Restrictions on internal movement,1.0,Hawaii
263,10,2020-03-02,C8_International travel controls,3.0,Hawaii
264,11,2020-01-29,H1_Public information campaigns,1.0,Hawaii
265,12,2020-01-21,H2_Testing policy,1.0,Hawaii
266,13,2020-03-02,H2_Testing policy,-1.0,Hawaii
267,14,2020-01-21,H3_Contact tracing,1.0,Hawaii
268,15,2020-04-02,H6_Facial Coverings,1.0,Hawaii
269,16,2020-12-15,H7_Vaccination policy,1.0,Hawaii
270,0,2020-03-13,C1_School closing,1.0,Iowa
271,1,2020-04-02,C1_School closing,2.0,Iowa
272,2,2020-08-24,C1_School closing,-1.0,Iowa
273,3,2020-03-12,C2_Workplace closing,1.0,Iowa
274,4,2020-06-12,C2_Workplace closing,-1.0,Iowa
275,5,2020-03-15,C3_Cancel public events,1.0,Iowa
276,6,2020-06-01,C3_Cancel public events,-1.0,Iowa
277,7,2020-03-17,C4_Restrictions on gatherings,4.0,Iowa
278,8,2020-06-01,C4_Restrictions on gatherings,-4.0,Iowa
279,9,2020-11-11,C4_Restrictions on gatherings,3.0,Iowa
280,10,2020-12-17,C4_Restrictions on gatherings,-3.0,Iowa
281,11,2020-04-06,C5_Close public transport,1.0,Iowa
282,12,2020-08-23,C5_Close public transport,-1.0,Iowa
283,13,2020-03-21,C6_Stay at home requirements,1.0,Iowa
284,14,2020-03-16,C7_Restrictions on internal movement,1.0,Iowa
285,15,2020-03-02,C8_International travel controls,3.0,Iowa
286,16,2020-03-03,H1_Public information campaigns,1.0,Iowa
287,17,2020-01-21,H2_Testing policy,1.0,Iowa
288,18,2020-03-02,H2_Testing policy,-1.0,Iowa
289,19,2020-01-21,H3_Contact tracing,1.0,Iowa
290,20,2020-08-26,H3_Contact tracing,-1.0,Iowa
291,21,2020-04-04,H6_Facial Coverings,1.0,Iowa
292,22,2020-12-14,H7_Vaccination policy,1.0,Iowa
293,0,2020-03-13,C1_School closing,1.0,Idaho
294,1,2020-03-23,C1_School closing,2.0,Idaho
295,2,2020-08-17,C1_School closing,-1.0,Idaho
296,3,2020-03-12,C2_Workplace closing,1.0,Idaho
297,4,2020-03-25,C2_Workplace closing,2.0,Idaho
298,5,2020-05-01,C2_Workplace closing,-1.0,Idaho
299,6,2020-03-15,C3_Cancel public events,1.0,Idaho
300,7,2020-05-30,C3_Cancel public events,-1.0,Idaho
301,8,2020-03-25,C4_Restrictions on gatherings,4.0,Idaho
302,9,2020-05-30,C4_Restrictions on gatherings,-1.0,Idaho
303,10,2020-06-13,C4_Restrictions on gatherings,-3.0,Idaho
304,11,2020-06-24,C4_Restrictions on gatherings,3.0,Idaho
305,12,2020-08-11,C4_Restrictions on gatherings,1.0,Idaho
306,13,2020-03-25,C5_Close public transport,1.0,Idaho
307,14,2020-05-01,C5_Close public transport,-1.0,Idaho
308,15,2020-03-25,C6_Stay at home requirements,2.0,Idaho
309,16,2020-05-01,C6_Stay at home requirements,-1.0,Idaho
310,17,2020-03-16,C7_Restrictions on internal movement,1.0,Idaho
311,18,2020-05-01,C7_Restrictions on internal movement,-1.0,Idaho
312,19,2020-03-02,C8_International travel controls,3.0,Idaho
313,20,2020-03-12,H1_Public information campaigns,2.0,Idaho
314,21,2020-01-21,H2_Testing policy,1.0,Idaho
315,22,2020-03-02,H2_Testing policy,-1.0,Idaho
316,23,2020-01-21,H3_Contact tracing,1.0,Idaho
317,24,2020-04-04,H6_Facial Coverings,1.0,Idaho
318,25,2020-12-14,H7_Vaccination policy,2.0,Idaho
319,0,2020-03-13,C1_School closing,1.0,Illinois
320,1,2020-03-17,C1_School closing,2.0,Illinois
321,2,2020-10-09,C1_School closing,-1.0,Illinois
322,3,2020-03-12,C2_Workplace closing,1.0,Illinois
323,4,2020-03-21,C2_Workplace closing,2.0,Illinois
324,5,2020-05-29,C2_Workplace closing,-2.0,Illinois
325,6,2020-03-13,C3_Cancel public events,1.0,Illinois
