,state,peak_dates,peak_properties
0,UT,"['2020-11-19', '2021-11-05', '2020-07-11']","[610.0, 2943.0, 1527.0]"
1,CO,"['2020-11-22', '2021-11-08', '2020-07-24']","[521.0, 4930.0, 2911.0]"
2,AR,"['2021-01-06', '2021-08-13', '2020-07-26']","[746.0, 2572.0, 2186.0]"
3,AS,[],[]
4,HI,"['2021-08-28', '2020-08-22', '2021-01-08']","[224.0, 145.0, 757.0]"
5,AK,"['2021-09-27', '2020-11-29', '2020-07-29']","[85.0, 620.0, 972.0]"
6,TX,"['2021-01-12', '2021-09-03', '2020-07-17']","[8670.0, 20499.0, 16901.0]"
7,OK,"['2020-12-29', '2021-08-28', '2020-07-13']","[785.0,  3467.0, 2506.0]"
8,GA,"['2021-01-09', '2021-08-27', '2020-07-24']","[3692.0, 8452.0, 8372.0]"
9,MA,"['2021-01-08', '2021-04-01', '2021-09-14']","[1994.0, 5411.0, 1766.0]"
10,MP,['2021-08-23'],[1.0]
11,PR,"['2020-12-13', '2021-08-17', '2020-08-09']","[319.0, 791.0, 781.0]"
12,KS,"['2020-11-19', '2021-09-02', '2020-05-04']","[231.0, 2545.0, 1456.0]"
13,FL,"['2021-08-16', '2021-01-07', '2020-04-09']","[929.0, 13423.0, 20956.0]"
14,PW,[],[]
15,WV,"['2021-09-15', '2021-01-02', '2020-04-11']","[34.0, 1339.0, 1721.0]"
16,NYC,"['2021-01-14', '2020-04-05', '2021-08-17']","[4674.0, 5712.0, 1913.0]"
17,NM,"['2020-11-24', '2021-11-14', '2020-07-20']","[278.0, 1984.0, 784.0]"
18,PA,"['2020-12-12', '2021-10-01', '2020-04-15']","[1423.0, 9305.0, 4689.0]"
19,IA,"['2020-11-13', '2021-09-17', '2020-05-03']","[434.0, 3686.0, 1618.0]"
20,TN,"['2020-12-17', '2021-09-05', '2020-07-24']","[2084.0, 7467.0, 7224.0]"
21,OH,"['2020-12-08', '2021-09-15', '2020-07-21']","[1293.0, 9837.0, 6489.0]"
22,RMI,[],[]
23,NY,"['2021-01-08', '2020-04-08', '2021-09-25']","[3783.0, 9109.0, 3770.0]"
24,SD,"['2020-11-11', '2021-09-11', '2020-04-18']","[89.0, 1235.0, 421.0]"
25,ND,"['2020-11-10', '2021-10-01', '2020-05-16']","[54.0, 1262.0, 571.0]"
26,CA,"['2021-01-02', '2021-08-23', '2020-07-19']","[8851.0, 38566.0, 13393.0]"
27,IL,"['2020-11-16', '2021-09-02', '2020-05-07']","[2343.0, 10989.0, 3881.0]"
28,DE,"['2020-12-12', '2021-09-22', '2020-04-29']","[190.0, 740.0, 450.0]"
29,WI,"['2020-11-13', '2021-09-27', '2020-07-25']","[890.0, 6203.0, 2910.0]"
30,GU,"['2021-09-10', '2020-11-09', '2020-08-27']","[51.0, 79.0, 152.0]"
31,NE,"['2020-11-16', '2021-09-08', '2020-05-06']","[332.0, 1962.0, 752.0]"
