,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
74095,Italy,ITA,,,NAT_TOTAL,20210101,2.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2129376.0,74621.0,82.41,82.41,88.1,88.1,78.28,78.28,78.75,78.75,75.0,75.0
74096,Italy,ITA,,,NAT_TOTAL,20210102,2.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2141201.0,74985.0,82.41,82.41,88.1,88.1,78.28,78.28,78.75,78.75,75.0,75.0
74097,Italy,ITA,,,NAT_TOTAL,20210103,2.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2155446.0,75332.0,82.41,82.41,88.1,88.1,78.28,78.28,78.75,78.75,75.0,75.0
74098,Italy,ITA,,,NAT_TOTAL,20210104,2.0,1.0,,3.0,1.0,,2.0,1.0,https://web.archive.org/save/https://www.wantedinrome.com/news/covid-19-italy-delays-reopening-of-high-schools-until-11-january.html,4.0,1.0,no more than 4 people can sit together   https://web.archive.org/save/https://www.wantedinrome.com/news/covid-19-italy-delays-reopening-of-high-schools-until-11-january.html  ,1.0,1.0,https://web.archive.org/save/https://www.wantedinrome.com/news/covid-19-italy-delays-reopening-of-high-schools-until-11-january.html,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,"A,C  Pfizer  changing back from 3G to 2G as only 2 groups (key workers and LTCF residents) are being vaccinated during phase 1:  ""In the first phase, vaccination will be reserved for health professionals, health and social health personnel of hospitals and territorial services as well as guests and staff of residential facilities for the elderly. These categories will be contacted by direct call.""  https://web.archive.org/web/20210124182427/https://info.vaccinicovid.gov.it/?gclid=Cj0KCQiA0rSABhDlARIsAJtjfCc1TSDtUm4rCTjS7KdHTeY3fZ3Q2J1DuCej0M-oTMUhZifB_6gWT-0aAhy3EALw_wcB    ",2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2166244.0,75680.0,82.41,82.41,88.1,88.1,78.28,78.28,78.75,78.75,75.0,75.0
74099,Italy,ITA,,,NAT_TOTAL,20210105,2.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,2.0,,0.0,,0.0,,4.0,0.0,"Updated according to the Decree Law 5 January 2021, n. 1. Measures valid until January 15, 2021: ""Throughout Italy, it is mandatory to wear a mask in public places indoors. The mask is also mandatory outdoors, except in cases where you are isolated from people who do not live together. In Lazio it is mandatory to wear a mask outdoors in any situation.""    http://web.archive.org/web/20210116175732/http://www.italia.it/en/useful-info/covid-19-updates-information-for-tourists.html",2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2181619.0,76329.0,82.41,82.41,88.1,88.1,78.28,78.28,78.75,78.75,75.0,75.0
74100,Italy,ITA,,,NAT_TOTAL,20210106,2.0,1.0,,3.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,"On 5 janaury 2020, the Legislative Degree establishes that from 7 to 15 janaury 2021 it is banned moving from regions, except for working and health reasons. It is allowed going back to the residence but not going to the second house.    See the official document: https://web.archive.org/web/20210829100231/https://www.gazzettaufficiale.it/eli/gu/2021/01/05/3/sg/pdf",3.0, that from 7 to 15 janaury 2021 maintains the same provision of the previous legislation.   See the official document: https://web.archive.org/web/20210829100231/https://www.gazzettaufficiale.it/eli/gu/2021/01/05/3/sg/pdf,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,2.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2201945.0,76877.0,82.41,82.41,88.1,88.1,78.28,78.28,78.75,78.75,75.0,75.0
74101,Italy,ITA,,,NAT_TOTAL,20210107,2.0,1.0,,2.0,1.0,"""The accommodation facilities remain open, respecting social distancing, the protocols and guidelines adopted to prevent or reduce the risk of infection.""    ""Bars, pubs, restaurants, ice cream parlors, pastry shops can stay open from 5am to 6pm. They must display a sign indicating the maximum number of people allowed inside them at the same time.""    http://web.archive.org/web/20210116175732/http://www.italia.it/en/useful-info/covid-19-updates-information-for-tourists.html",2.0,1.0,"""Indoor and outdoor parties, including those related to civil and religious ceremonies, are prohibited. Festivals, fairs and all similar events are prohibited.  Conferences, congresses and all similar events are suspended, except those that take place in remotely.""    http://web.archive.org/web/20210116175732/http://www.italia.it/en/useful-info/covid-19-updates-information-for-tourists.html  ",4.0,1.0,"""A maximum of 2 people or 2 people accompanied by children under 14 or disabled or non self-sufficient people living together can go out. These movements are allowed only within the municipality of residence. Those who live in municipalities whose population does not exceed 5 thousand inhabitants can leave the municipality up to a distance of 30 km, but cannot go to the provincial capital cities.""    http://web.archive.org/web/20210116175732/http://www.italia.it/en/useful-info/covid-19-updates-information-for-tourists.html",1.0,1.0,"""The means of public transport can operate with 50% of passengers.""        http://web.archive.org/web/20210116175732/http://www.italia.it/en/useful-info/covid-19-updates-information-for-tourists.html",2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,3.0,LFT started to be accepted officially starting Jan 7th  https://web.archive.org/web/20210126192620if_/https://www.ilsole24ore.com/art/test-rapidi-validi-come-tamponi-cosi-cambia-l-assegnazione-colori-regioni-AD8MVIBB,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2220361.0,77291.0,78.7,78.7,84.52,84.52,78.28,78.28,78.75,78.75,75.0,75.0
74102,Italy,ITA,,,NAT_TOTAL,20210108,2.0,1.0,,2.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,3.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2237890.0,77911.0,78.7,78.7,84.52,84.52,78.28,78.28,78.75,78.75,75.0,75.0
74103,Italy,ITA,,,NAT_TOTAL,20210109,2.0,1.0,,2.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,3.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2257866.0,78394.0,78.7,78.7,84.52,84.52,78.28,78.28,78.75,78.75,75.0,75.0
74104,Italy,ITA,,,NAT_TOTAL,20210110,2.0,1.0,,2.0,1.0,,2.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,0.0,,2.0,1.0,,3.0,,1.0,1.0,,2.0,,0.0,,0.0,,2.0,1.0,,3.0,,2.0,,0.0,,0.0,,4.0,0.0,,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,0.0,0.0,0.0,2.0,5.0,,,,2276491.0,78755.0,78.7,78.7,84.52,84.52,78.28,78.28,78.75,78.75,75.0,75.0
