submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
02/20/2022,MD,998136,,,1089,0,14011,13749,262,8,0,02/21/2022 08:43:30 PM,N/A,Agree
08/06/2021,MD,472224,,,890,0,9871,9651,220,4,0,08/08/2021 12:00:00 AM,N/A,Agree
07/30/2021,MD,467961,,,526,0,9844,9625,219,2,0,08/01/2021 12:00:00 AM,N/A,Agree
10/25/2020,MD,140279,,,792,0,4237,4078,159,6,0,10/27/2020 12:00:00 AM,N/A,Agree
02/08/2021,MD,364553,,,903,0,7849,7648,201,37,0,02/10/2021 12:00:00 AM,N/A,Agree
12/31/2021,MD,720888,,,13110,0,11875,11638,237,36,0,01/02/2022 12:00:00 AM,N/A,Agree
11/28/2021,MD,584137,,,838,0,11203,10972,231,12,0,11/30/2021 12:00:00 AM,N/A,Agree
12/19/2021,MD,620799,,,2473,0,11533,11300,233,22,0,12/21/2021 12:00:00 AM,N/A,Agree
03/18/2020,MD,85,,,28,0,0,0,0,0,0,03/20/2020 12:00:00 AM,N/A,Agree
02/13/2021,MD,370136,,,1159,0,8019,7817,202,29,0,02/15/2021 12:00:00 AM,N/A,Agree
06/05/2020,MD,56770,,,912,0,2817,2695,122,33,0,06/07/2020 12:00:00 AM,N/A,Agree
02/17/2020,MD,0,,,0,0,0,0,0,0,0,02/19/2020 12:00:00 AM,N/A,Agree
03/17/2021,MD,395633,,,917,0,8640,8434,206,22,0,03/19/2021 12:00:00 AM,N/A,Agree
03/09/2021,MD,388666,,,631,0,8515,8311,204,24,0,03/11/2021 12:00:00 AM,N/A,Agree
10/29/2020,MD,143387,,,962,0,4266,4106,160,13,1,10/31/2020 12:00:00 AM,N/A,Agree
03/24/2020,MD,349,,,61,0,5,5,0,0,0,03/26/2020 12:00:00 AM,N/A,Agree
09/03/2020,MD,110012,,,693,0,3901,3746,155,8,0,09/05/2020 12:00:00 AM,N/A,Agree
02/10/2021,MD,366666,,,1137,0,7929,7728,201,35,0,02/12/2021 12:00:00 AM,N/A,Agree
09/22/2020,MD,120912,,,344,0,4020,3863,157,5,0,09/24/2020 12:00:00 AM,N/A,Agree
04/24/2021,MD,442351,,,1196,0,9248,9036,212,18,0,04/26/2021 12:00:00 AM,N/A,Agree
11/04/2021,MD,563696,,,800,0,10970,10739,231,13,1,11/06/2021 12:00:00 AM,N/A,Agree
10/22/2021,MD,554456,,,863,0,10811,10581,230,17,0,10/24/2021 12:00:00 AM,N/A,Agree
03/07/2020,MD,3,,,0,0,0,0,0,0,0,03/09/2020 12:00:00 AM,N/A,Agree
11/30/2020,MD,198370,,,1923,0,4858,4685,173,24,1,12/02/2020 12:00:00 AM,N/A,Agree
12/15/2021,MD,608293,,,2192,0,11447,11214,233,25,0,12/17/2021 12:00:00 AM,N/A,Agree
08/11/2021,MD,476070,,,886,0,9893,9672,221,3,0,08/13/2021 12:00:00 AM,N/A,Agree
03/31/2022,MD,1012357,,,438,0,14347,14083,264,2,0,04/01/2022 01:54:34 PM,N/A,Agree
10/08/2020,MD,129425,,,761,0,4122,3963,159,10,0,10/10/2020 12:00:00 AM,N/A,Agree
03/26/2021,MD,405343,,,1361,0,8772,8564,208,9,1,03/28/2021 12:00:00 AM,N/A,Agree
04/06/2020,MD,4045,,,436,0,128,122,6,23,0,04/08/2020 12:00:00 AM,N/A,Agree
04/19/2021,MD,436659,,,631,0,9157,8946,211,18,1,04/21/2021 12:00:00 AM,N/A,Agree
12/20/2021,MD,621983,,,1184,0,11553,11320,233,20,0,12/22/2021 12:00:00 AM,N/A,Agree
08/25/2020,MD,105046,,,377,0,3827,3674,153,1,1,08/27/2020 12:00:00 AM,N/A,Agree
07/16/2021,MD,463848,,,183,0,9811,9594,217,3,0,07/18/2021 12:00:00 AM,N/A,Agree
07/14/2020,MD,74260,,,733,0,3453,3314,139,6,0,07/16/2020 12:00:00 AM,N/A,Agree
07/18/2020,MD,77206,,,835,0,3487,3348,139,8,0,07/20/2020 12:00:00 AM,N/A,Agree
04/23/2020,MD,15737,,,962,0,790,750,40,49,2,05/11/2022 04:48:19 PM,N/A,Agree
11/15/2021,MD,572342,,,717,0,11086,10855,231,7,0,11/17/2021 12:00:00 AM,N/A,Agree
06/19/2021,MD,461697,,,62,0,9752,9535,217,4,0,06/21/2021 12:00:00 AM,N/A,Agree
